p,d,k,l
6581,4,1,2
6599,4,1,1
6607,4,1,1
6619,4,1,1
6637,4,1,1
6653,4,1,1
6659,4,1,1
6661,4,1,1
6673,4,1,1
6679,4,1,1
6689,4,1,1
6691,4,1,1
6701,4,1,1
6703,4,1,1
6709,4,1,1
6719,4,1,1
6733,4,1,1
6737,4,1,1
6761,4,1,2
6763,4,1,1
6779,4,1,1
6781,4,1,1
6791,4,1,1
6793,4,1,1
6803,4,1,1
6823,4,1,1
6827,4,1,1
6829,4,1,1
6833,4,1,1
6841,4,1,1
6857,4,1,1
6863,4,1,1
6869,4,1,1
6871,4,1,1
6883,4,1,1
6899,4,1,2
6907,4,1,1
6911,4,1,1
6917,4,1,1
6947,4,1,1
6949,4,1,1
6959,4,1,1
6961,4,1,1
6967,4,1,1
6971,4,1,1
6977,4,1,1
6983,4,1,2
6991,4,1,1
6997,4,1,1
7001,4,1,1
7013,4,1,1
7019,4,1,1
7027,4,1,1
7039,4,1,1
7043,4,1,2
7057,4,1,1
7069,4,1,1
7079,4,1,3
7103,4,1,2
7109,4,1,1
7121,4,1,2
7127,4,1,1
7129,4,1,1
7151,4,1,3
7159,4,1,1
7177,4,1,1
7187,4,1,1
7193,4,1,2
7207,4,1,1
7211,4,1,2
7213,4,1,1
7219,4,1,1
7229,4,1,1
7237,4,1,1
7243,4,1,1
7247,4,1,1
7253,4,1,1
7283,4,1,1
7297,4,1,1
7307,4,1,1
7309,4,1,1
7321,4,1,1
7331,4,1,1
7333,4,1,1
7349,4,1,3
7351,4,1,1
7369,4,1,1
7393,4,1,1
7411,4,1,1
7417,4,1,1
7433,4,1,2
7451,4,1,1
7457,4,1,1
7459,4,1,1
7477,4,1,1
7481,4,1,1
7487,4,1,1
7489,4,1,1
7499,4,1,1
7507,4,1,1
7517,4,1,1
7523,4,1,1
7529,4,1,1
7537,4,1,1
7541,4,1,2
7547,4,1,1
7549,4,1,1
7559,4,1,1
7561,4,1,1
7573,4,1,1
7577,4,1,1
7583,4,1,1
7589,4,1,1
7591,4,1,1
7603,4,1,1
7607,4,1,1
7621,4,1,1
7639,4,1,1
7643,4,1,2
7649,4,1,2
7669,4,1,1
7673,4,1,1
7681,4,1,1
7687,4,1,1
7691,4,1,2
7699,4,1,1
7703,4,1,1
7717,4,1,1
7723,4,1,1
7727,4,1,1
7741,4,1,1
7753,4,1,1
7757,4,1,1
7759,4,1,1
7789,4,1,1
7793,4,1,1
7817,4,1,1
7823,4,1,2
7829,4,1,1
7841,4,1,2
7853,4,1,1
7867,4,1,1
7873,4,1,1
7877,4,1,1
7879,4,1,1
7883,4,1,2
7901,4,1,3
7907,4,1,1
7919,4,1,1
7927,4,1,1
7933,4,1,1
7937,4,1,1
7949,4,1,1
7951,4,1,1
7963,4,1,1
7993,4,1,1
8009,4,1,1
8011,4,1,1
8017,4,1,1
8039,4,1,1
8053,4,1,1
8059,4,1,1
8069,4,1,2
8081,4,1,1
8087,4,1,1
8089,4,1,1
8093,4,1,2
8101,4,1,1
8111,4,1,2
8117,4,1,1
8123,4,1,1
8147,4,1,1
8161,4,1,1
8167,4,1,1
8171,4,1,1
8179,4,1,1
8191,4,1,1
8209,4,1,1
8219,4,1,1
8221,4,1,1
8231,4,1,1
8233,4,1,1
8237,4,1,1
8243,4,1,2
8263,4,1,1
8269,4,1,1
8273,4,1,2
8287,4,1,1
8291,4,1,1
8293,4,1,1
8297,4,1,1
8311,4,1,1
8317,4,1,1
8329,4,1,1
8353,4,1,1
8363,4,1,1
8369,4,1,1
8377,4,1,1
8387,4,1,1
8389,4,1,1
8419,4,1,1
8423,4,1,1
8429,4,1,1
8431,4,1,1
8443,4,1,1
8447,4,1,1
8461,4,1,1
8467,4,1,1
8501,4,1,1
8513,4,1,2
8521,4,1,1
8527,4,1,1
8537,4,1,1
8539,4,1,1
8543,4,1,1
8563,4,1,1
8573,4,1,1
8581,4,1,1
8597,4,1,1
8599,4,1,1
8609,4,1,1
8623,4,1,1
8627,4,1,1
8629,4,1,1
8641,4,1,1
8647,4,1,1
8663,4,1,2
8669,4,1,1
8677,4,1,1
8681,4,1,1
8689,4,1,1
8693,4,1,2
8699,4,1,1
8707,4,1,1
8713,4,1,1
8719,4,1,1
8731,4,1,1
8737,4,1,1
8741,4,1,2
8747,4,1,1
8753,4,1,1
8761,4,1,1
8779,4,1,1
8783,4,1,1
8803,4,1,1
8807,4,1,1
8819,4,1,1
8821,4,1,1
8831,4,1,1
8837,4,1,1
8839,4,1,1
8849,4,1,1
8861,4,1,1
8863,4,1,1
8867,4,1,1
8887,4,1,1
8893,4,1,1
8923,4,1,1
8929,4,1,1
8933,4,1,1
8941,4,1,1
8951,4,1,2
8963,4,1,1
8969,4,1,3
8971,4,1,1
8999,4,1,1
9001,4,1,1
9007,4,1,1
9011,4,1,1
9013,4,1,1
9029,4,1,2
9041,4,1,1
9043,4,1,1
9049,4,1,1
9059,4,1,2
9067,4,1,1
9091,4,1,1
9103,4,1,1
9109,4,1,1
9127,4,1,1
9133,4,1,1
9137,4,1,1
9151,4,1,1
9157,4,1,1
9161,4,1,1
9173,4,1,1
9181,4,1,1
9187,4,1,1
9199,4,1,1
9203,4,1,1
9209,4,1,1
9221,4,1,3
9227,4,1,1
9239,4,1,1
9241,4,1,1
9257,4,1,1
9277,4,1,1
9281,4,1,1
9283,4,1,1
9293,4,1,2
9311,4,1,1
9319,4,1,1
9323,4,1,1
9337,4,1,1
9341,4,1,1
9343,4,1,1
9349,4,1,1
9371,4,1,2
9377,4,1,1
9391,4,1,1
9397,4,1,1
9403,4,1,1
9413,4,1,1
9419,4,1,2
9421,4,1,1
9431,4,1,1
9433,4,1,1
9437,4,1,1
9439,4,1,1
9461,4,1,1
9463,4,1,1
9467,4,1,1
9473,4,1,2
9479,4,1,2
9491,4,1,1
9497,4,1,1
9511,4,1,1
9521,4,1,1
9533,4,1,1
9539,4,1,2
9547,4,1,1
9551,4,1,1
9587,4,1,1
9601,4,1,1
9613,4,1,1
9619,4,1,1
9623,4,1,1
9629,4,1,2
9631,4,1,1
9643,4,1,1
9649,4,1,1
9661,4,1,1
9677,4,1,1
9679,4,1,1
9689,4,1,2
9697,4,1,1
9719,4,1,1
9721,4,1,1
9733,4,1,1
9739,4,1,1
9743,4,1,1
9749,4,1,1
9767,4,1,1
9769,4,1,1
9781,4,1,1
9787,4,1,1
9791,4,1,2
9803,4,1,1
9811,4,1,1
9817,4,1,1
9829,4,1,1
9833,4,1,1
9839,4,1,1
