p,d,k,l
94601609,8,1,4
94617989,8,1,5
94625759,8,1,4
94665689,8,1,4
94734119,8,1,4
94760489,8,1,5
94761539,8,1,4
94772759,8,1,4
94806689,8,1,4
94844549,8,1,4
94854209,8,1,4
94860989,8,1,5
94936379,8,1,4
94958939,8,1,4
94993049,8,1,4
95000159,8,1,4
95035799,8,1,4
95048939,8,1,4
95095109,8,1,4
95110649,8,1,5
95119889,8,1,4
95126159,8,1,4
95132729,8,1,4
95194139,8,1,5
95232779,8,1,4
95286869,8,1,4
95302349,8,1,4
95308649,8,1,4
95317259,8,1,4
95318309,8,1,4
95327129,8,1,4
95411759,8,1,4
95439089,8,1,4
95451029,8,1,5
95454839,8,1,4
95465039,8,1,4
95496179,8,1,4
95520539,8,1,5
95527409,8,1,4
95649419,8,1,4
95657279,8,1,4
95673659,8,1,5
95674829,8,1,4
95692529,8,1,5
95700779,8,1,4
95805119,8,1,4
95818889,8,1,4
95827769,8,1,5
95831189,8,1,7
95837639,8,1,4
95883269,8,1,4
95889659,8,1,4
95896679,8,1,4
95930729,8,1,6
95939639,8,1,4
95965559,8,1,4
95969339,8,1,4
96018809,8,1,6
96025229,8,1,4
96032159,8,1,4
96050789,8,1,4
96067319,8,1,5
96079079,8,1,4
96119609,8,1,5
96127589,8,1,4
96150779,8,1,4
96153749,8,1,4
96158369,8,1,4
96197639,8,1,4
96225449,8,1,4
96279539,8,1,5
96319529,8,1,4
96337919,8,1,5
96346889,8,1,4
96365309,8,1,6
96383879,8,1,4
96407579,8,1,4
96414869,8,1,4
96415199,8,1,4
96416219,8,1,4
96433829,8,1,4
96466949,8,1,4
96469259,8,1,4
96484649,8,1,4
96489929,8,1,4
96514949,8,1,4
96542399,8,1,4
96547439,8,1,4
96593669,8,1,5
96606179,8,1,5
96621419,8,1,4
96701789,8,1,4
96704519,8,1,5
96707189,8,1,4
96709589,8,1,4
96738689,8,1,4
96806819,8,1,4
96809129,8,1,4
96824879,8,1,4
96850499,8,1,5
96871289,8,1,4
96915389,8,1,6
97000259,8,1,4
97061369,8,1,4
97123289,8,1,4
97138319,8,1,5
97150589,8,1,4
97172639,8,1,4
97255979,8,1,4
97290629,8,1,4
97296869,8,1,4
97370219,8,1,4
97421609,8,1,4
97442519,8,1,4
97454069,8,1,4
97474859,8,1,5
97478159,8,1,4
97486979,8,1,4
97515569,8,1,4
97567889,8,1,4
97631669,8,1,5
97668149,8,1,4
97690319,8,1,4
97726649,8,1,4
97735769,8,1,4
97751999,8,1,4
97832789,8,1,4
97846709,8,1,4
97868789,8,1,5
97878689,8,1,4
97885829,8,1,4
97928609,8,1,4
98004839,8,1,4
98034089,8,1,5
98080799,8,1,4
98089709,8,1,4
98112149,8,1,4
98114729,8,1,4
98119739,8,1,4
98126909,8,1,4
98177399,8,1,4
98241749,8,1,4
98242769,8,1,4
98243429,8,1,4
98281979,8,1,4
98320199,8,1,6
98354939,8,1,5
98365829,8,1,4
98392709,8,1,4
98396429,8,1,4
98510309,8,1,5
98517599,8,1,4
98527769,8,1,5
98562539,8,1,5
98581919,8,1,4
98595599,8,1,6
98634689,8,1,5
98641379,8,1,4
98646029,8,1,4
98649119,8,1,4
98651639,8,1,4
98677259,8,1,4
98680259,8,1,4
98726219,8,1,4
98738429,8,1,4
98750369,8,1,4
98765399,8,1,4
98785619,8,1,4
98788169,8,1,4
98790239,8,1,4
98806979,8,1,4
98810249,8,1,6
98829149,8,1,4
98853719,8,1,4
98868089,8,1,4
98874179,8,1,4
98883749,8,1,4
98902109,8,1,4
98910359,8,1,4
98915879,8,1,4
98949839,8,1,4
98952989,8,1,4
98965199,8,1,4
99011999,8,1,4
99021029,8,1,4
99024539,8,1,4
99037619,8,1,4
99056939,8,1,4
99119519,8,1,4
99129449,8,1,5
99130589,8,1,4
99138989,8,1,4
99175019,8,1,4
99183599,8,1,4
99209969,8,1,4
99225779,8,1,5
99246419,8,1,4
99260459,8,1,4
99371039,8,1,4
99372989,8,1,4
99395909,8,1,4
99482039,8,1,4
99544349,8,1,4
99575279,8,1,5
99600779,8,1,4
99635489,8,1,4
99637019,8,1,5
99669659,8,1,4
99702689,8,1,4
99742619,8,1,4
99781229,8,1,4
99796799,8,1,4
99809939,8,1,4
99851309,8,1,4
99851819,8,1,5
99899909,8,1,4
99905759,8,1,4
99911369,8,1,4
99961469,8,1,4
99970889,8,1,5
99987869,8,1,4
100060139,9,1,5
100210619,9,1,5
100860059,9,1,5
100907069,9,1,6
101059559,9,1,5
101108489,9,1,5
101112029,9,1,5
101147009,9,1,5
101362979,9,1,6
101570879,9,1,6
101681759,9,1,5
101868779,9,1,5
102111029,9,1,5
102316559,9,1,6
102457469,9,1,5
102526409,9,1,5
102629069,9,1,5
102922559,9,1,5
103037639,9,1,6
103064729,9,1,5
103518209,9,1,5
103756949,9,1,5
103805909,9,1,5
104178059,9,1,6
104203139,9,1,5
104254649,9,1,5
104474459,9,1,5
104724569,9,1,5
105085199,9,1,5
105109139,9,1,7
105204119,9,1,5
105388169,9,1,7
105793559,9,1,5
106012619,9,1,5
106070309,9,1,6
106214639,9,1,5
106224029,9,1,5
106305659,9,1,5
106336229,9,1,5
106469729,9,1,5
106632689,9,1,5
106687739,9,1,5
106910789,9,1,5
106959929,9,1,5
107019749,9,1,5
107493539,9,1,5
107740709,9,1,5
107845709,9,1,5
107893559,9,1,5
107922989,9,1,5
107953949,9,1,5
108088979,9,1,5
108219929,9,1,5
108248429,9,1,6
108256679,9,1,5
108451979,9,1,5
108717569,9,1,5
108729749,9,1,5
108986849,9,1,5
109850249,9,1,5
109981199,9,1,5
110281169,9,1,5
110403239,9,1,5
110428919,9,1,5
110489969,9,1,6
110541269,9,1,5
110566679,9,1,5
110640779,9,1,5
110754989,9,1,5
111341129,9,1,5
111707339,9,1,5
112069019,9,1,5
112363379,9,1,6
112659089,9,1,5
112738649,9,1,5
112874579,9,1,6
113006249,9,1,5
113159309,9,1,5
113208269,9,1,5
113248259,9,1,5
113719499,9,1,5
113731889,9,1,5
113778779,9,1,5
113916059,9,1,5
113931899,9,1,5
113979539,9,1,5
114158909,9,1,6
114199199,9,1,5
114253619,9,1,6
114822839,9,1,6
114836489,9,1,5
114937079,9,1,5
114996419,9,1,5
115355459,9,1,5
115374599,9,1,5
115576949,9,1,5
115998719,9,1,5
116037329,9,1,5
116048189,9,1,5
116093039,9,1,5
117123689,9,1,6
117384749,9,1,5
117477149,9,1,5
117696989,9,1,5
117720329,9,1,6
117758279,9,1,5
118108499,9,1,5
118114439,9,1,5
118393889,9,1,5
118506749,9,1,5
118611659,9,1,5
118669049,9,1,6
118791479,9,1,5
119239979,9,1,5
119291729,9,1,5
119392859,9,1,5
119647439,9,1,5
119755379,9,1,5
119882489,9,1,5
119957009,9,1,5
120086069,9,1,5
120105239,9,1,5
120476099,9,1,5
120530279,9,1,5
120557309,9,1,5
120641159,9,1,5
120733139,9,1,5
120786689,9,1,5
120811679,9,1,5
120851369,9,1,5
121002599,9,1,5
121070429,9,1,5
121127999,9,1,5
121255889,9,1,7
121297889,9,1,5
121609079,9,1,5
121673969,9,1,5
121685309,9,1,5
121694879,9,1,5
121817309,9,1,5
121845989,9,1,5
121896569,9,1,5
122129879,9,1,5
122237009,9,1,5
122297999,9,1,5
122516249,9,1,5
122593109,9,1,5
122645249,9,1,5
123096119,9,1,5
123097379,9,1,5
123440879,9,1,5
123498209,9,1,6
123674189,9,1,6
123722639,9,1,5
124008119,9,1,5
124011809,9,1,5
124175729,9,1,5
124220639,9,1,5
124309079,9,1,5
124387619,9,1,5
124442189,9,1,5
124455239,9,1,5
124583759,9,1,5
124597289,9,1,6
124621229,9,1,5
124660169,9,1,5
124702499,9,1,5
124893239,9,1,5
125105969,9,1,5
125495039,9,1,5
125540309,9,1,5
125600339,9,1,6
125944499,9,1,5
126455669,9,1,5
126599639,9,1,5
126695039,9,1,5
126791459,9,1,5
127228919,9,1,5
127483649,9,1,6
128049689,9,1,5
128144039,9,1,5
128144729,9,1,5
128301059,9,1,5
128326559,9,1,5
128333819,9,1,5
128360549,9,1,5
128447279,9,1,5
128721959,9,1,6
128808089,9,1,5
128963669,9,1,5
129130979,9,1,5
129203309,9,1,5
129241949,9,1,6
129363959,9,1,5
129368969,9,1,5
129422789,9,1,5
129842159,9,1,5
129918749,9,1,6
130038179,9,1,5
130169549,9,1,5
130438859,9,1,5
130463309,9,1,5
130861229,9,1,5
131032199,9,1,5
131062829,9,1,5
131317349,9,1,5
131384999,9,1,5
131392559,9,1,6
131756249,9,1,5
132288869,9,1,5
132629369,9,1,5
133034879,9,1,5
133062389,9,1,5
133098989,9,1,5
133214759,9,1,5
133502849,9,1,5
133557689,9,1,6
133667879,9,1,5
134071499,9,1,5
134082029,9,1,5
134172149,9,1,5
134424239,9,1,5
134450759,9,1,5
134504039,9,1,5
134538749,9,1,5
134916329,9,1,5
135049619,9,1,5
135487799,9,1,5
135722579,9,1,5
135756389,9,1,5
135815969,9,1,5
136155059,9,1,5
136536689,9,1,5
136576439,9,1,6
136593599,9,1,5
136765379,9,1,5
136988459,9,1,5
137344379,9,1,5
137436119,9,1,6
137929439,9,1,5
138028799,9,1,5
138054179,9,1,5
138140729,9,1,7
138420599,9,1,5
138493409,9,1,5
138565139,9,1,5
138570989,9,1,6
138641969,9,1,6
138710249,9,1,5
139475159,9,1,5
140444099,9,1,5
140467469,9,1,5
140741039,9,1,5
140808539,9,1,6
140840789,9,1,5
141312659,9,1,5
141361469,9,1,6
141481979,9,1,6
141550709,9,1,6
141754169,9,1,5
142037459,9,1,5
142208999,9,1,5
142267019,9,1,5
142276889,9,1,5
142425359,9,1,5
142490879,9,1,5
142602959,9,1,5
142625009,9,1,5
142773929,9,1,5
142944779,9,1,5
142957019,9,1,5
143302829,9,1,5
143390309,9,1,5
143697299,9,1,5
143740169,9,1,5
143947829,9,1,6
143992319,9,1,5
144070499,9,1,5
144253589,9,1,5
144584939,9,1,5
144869009,9,1,5
144899879,9,1,5
145122179,9,1,6
145184219,9,1,5
145531349,9,1,5
145634789,9,1,5
145877009,9,1,5
146078489,9,1,5
146162669,9,1,5
146182259,9,1,5
146366729,9,1,6
146398649,9,1,5
146412419,9,1,5
146627339,9,1,5
146832359,9,1,6
146943089,9,1,5
147039779,9,1,5
147063179,9,1,5
147280079,9,1,5
147400139,9,1,5
147424379,9,1,5
147482789,9,1,5
147648269,9,1,5
147919319,9,1,5
148326539,9,1,5
148354919,9,1,5
149107319,9,1,5
149506229,9,1,5
149633279,9,1,5
149637539,9,1,5
149716709,9,1,5
149924609,9,1,5
149962889,9,1,5
150072899,9,1,5
150111509,9,1,5
150472769,9,1,5
150591209,9,1,5
150628169,9,1,5
150647069,9,1,5
150759299,9,1,5
150782609,9,1,5
150812009,9,1,5
151065749,9,1,5
151166129,9,1,5
151326629,9,1,5
151341059,9,1,5
151456919,9,1,5
151559459,9,1,5
151688969,9,1,5
151784519,9,1,5
151862129,9,1,5
151899389,9,1,5
151907429,9,1,5
151964699,9,1,5
152193389,9,1,5
152193689,9,1,5
152442509,9,1,5
152498309,9,1,6
152599589,9,1,5
152657369,9,1,6
152769629,9,1,5
152793629,9,1,5
152799359,9,1,5
152889419,9,1,5
152959679,9,1,5
153032609,9,1,5
153178799,9,1,6
153409829,9,1,5
153427349,9,1,5
153560579,9,1,6
153675449,9,1,5
153704459,9,1,5
153913709,9,1,6
153953669,9,1,5
154017029,9,1,5
154028249,9,1,5
154101509,9,1,5
154239749,9,1,5
154600889,9,1,5
154794509,9,1,5
154844639,9,1,5
154906049,9,1,5
155071979,9,1,5
155439419,9,1,7
155482889,9,1,6
155621729,9,1,6
155905049,9,1,6
156582719,9,1,5
156796229,9,1,5
156855449,9,1,5
156975089,9,1,5
157186019,9,1,5
157241879,9,1,5
157547129,9,1,6
157676699,9,1,6
158502749,9,1,5
158562479,9,1,5
158584319,9,1,5
158708279,9,1,5
158875889,9,1,5
159053789,9,1,5
159300689,9,1,5
159332639,9,1,6
159409499,9,1,5
159591149,9,1,6
159755699,9,1,5
159790139,9,1,5
159938459,9,1,7
160402139,9,1,5
160589249,9,1,5
160600439,9,1,5
160997129,9,1,5
161020859,9,1,6
161023259,9,1,5
161094299,9,1,5
161159819,9,1,6
161400719,9,1,5
161406419,9,1,5
161422589,9,1,5
161498069,9,1,5
161622869,9,1,5
161741579,9,1,5
161884889,9,1,5
161922539,9,1,5
161999969,9,1,5
162216809,9,1,5
162344579,9,1,5
162695609,9,1,6
162848849,9,1,5
163097219,9,1,5
163493549,9,1,5
163619129,9,1,5
163983299,9,1,5
164442149,9,1,5
164459129,9,1,5
164614559,9,1,5
164917829,9,1,5
164977649,9,1,5
165112919,9,1,5
165749789,9,1,5
165889079,9,1,5
165984179,9,1,5
166418699,9,1,5
166698509,9,1,6
166788689,9,1,5
166826249,9,1,5
166877699,9,1,6
166971089,9,1,5
167086379,9,1,5
167100779,9,1,6
167135099,9,1,5
167145029,9,1,5
167517569,9,1,5
167574059,9,1,5
167725529,9,1,5
167761859,9,1,5
167784629,9,1,6
167961869,9,1,5
168487499,9,1,5
168641909,9,1,5
169080239,9,1,5
169260419,9,1,5
169296689,9,1,5
169373279,9,1,5
169510889,9,1,5
169558079,9,1,5
169618199,9,1,5
169931309,9,1,5
170124359,9,1,5
170139869,9,1,5
170656289,9,1,5
170712149,9,1,5
170723879,9,1,5
171128879,9,1,5
171242399,9,1,5
171281549,9,1,5
171576029,9,1,5
171729539,9,1,8
172009319,9,1,5
172127519,9,1,5
172182779,9,1,5
172300259,9,1,5
172564109,9,1,5
172889159,9,1,5
172959359,9,1,5
173238839,9,1,5
173285999,9,1,7
173326739,9,1,6
173350169,9,1,5
173670149,9,1,6
174066869,9,1,5
174085949,9,1,5
174274739,9,1,5
174644369,9,1,5
174880319,9,1,5
175516949,9,1,5
175523459,9,1,5
175585499,9,1,5
175641239,9,1,5
175909169,9,1,5
176348099,9,1,6
176677499,9,1,5
176993549,9,1,6
177097829,9,1,5
177113669,9,1,5
177365939,9,1,5
177533129,9,1,5
177648749,9,1,5
177897509,9,1,5
178094489,9,1,5
178723799,9,1,6
179371589,9,1,5
179946449,9,1,6
180599879,9,1,5
180738539,9,1,5
180958649,9,1,5
181048949,9,1,5
181139999,9,1,5
181416029,9,1,5
181515359,9,1,5
181531349,9,1,5
181774409,9,1,6
181795079,9,1,5
181965089,9,1,5
182471699,9,1,5
182655059,9,1,5
182771339,9,1,5
183033029,9,1,5
183561929,9,1,7
183984959,9,1,5
184056599,9,1,5
184072709,9,1,5
184399079,9,1,6
184746209,9,1,5
185160029,9,1,5
185319539,9,1,5
185525729,9,1,6
185554829,9,1,5
186415109,9,1,5
186560399,9,1,5
186964259,9,1,5
186971189,9,1,5
186977699,9,1,5
187172549,9,1,6
187405349,9,1,6
187832399,9,1,5
187848959,9,1,5
187999709,9,1,5
188193899,9,1,5
188300669,9,1,6
188349839,9,1,5
188810159,9,1,5
189080819,9,1,5
189417209,9,1,7
189919139,9,1,5
189927299,9,1,6
190130189,9,1,5
190164809,9,1,7
190215689,9,1,5
190424219,9,1,6
190494329,9,1,5
190506059,9,1,7
190809659,9,1,6
191293169,9,1,5
191344949,9,1,5
191373599,9,1,5
191662379,9,1,6
191807639,9,1,5
191861459,9,1,5
192037619,9,1,5
192365669,9,1,5
192381929,9,1,5
192382439,9,1,5
192421049,9,1,5
192602309,9,1,5
192730619,9,1,5
193099199,9,1,5
193828919,9,1,5
193830779,9,1,5
194504039,9,1,5
194731469,9,1,5
194814029,9,1,5
194878949,9,1,5
195138239,9,1,5
195312809,9,1,5
195818429,9,1,5
195871349,9,1,5
196097549,9,1,6
196108439,9,1,5
196275119,9,1,5
196338209,9,1,5
196358609,9,1,5
196640399,9,1,5
196727369,9,1,5
197191199,9,1,5
197426969,9,1,5
197620499,9,1,5
197821649,9,1,6
197915279,9,1,5
198090419,9,1,5
198343319,9,1,5
198479579,9,1,9
198697319,9,1,5
198892679,9,1,6
198896129,9,1,5
199016789,9,1,5
199384469,9,1,5
199570139,9,1,6
199697279,9,1,5
199749449,9,1,5
199920719,9,1,5
200153249,9,1,5
200189729,9,1,5
200300609,9,1,5
200339129,9,1,5
200630099,9,1,5
200722919,9,1,6
201057299,9,1,5
201146909,9,1,5
201162779,9,1,6
201248639,9,1,5
201452969,9,1,5
201814139,9,1,5
202209179,9,1,5
202289189,9,1,5
202421519,9,1,5
202725959,9,1,5
202875119,9,1,6
203135249,9,1,5
203141759,9,1,5
203246399,9,1,5
203585279,9,1,7
204268469,9,1,5
204474269,9,1,5
204630719,9,1,5
204633119,9,1,5
204959459,9,1,5
205366019,9,1,6
205590179,9,1,5
205766549,9,1,5
205889759,9,1,5
206074139,9,1,5
206075279,9,1,5
206590019,9,1,5
207647309,9,1,6
207715589,9,1,5
207831089,9,1,5
208283459,9,1,6
208356119,9,1,5
208375529,9,1,5
208763609,9,1,5
209025689,9,1,6
209130689,9,1,5
209202299,9,1,5
209655059,9,1,5
209662949,9,1,6
209804789,9,1,5
210133229,9,1,5
210218279,9,1,6
210370739,9,1,7
210776339,9,1,6
211192259,9,1,5
211258109,9,1,5
211294439,9,1,5
211431509,9,1,6
211582139,9,1,6
211715639,9,1,6
211760849,9,1,5
211871069,9,1,5
211914779,9,1,5
212089019,9,1,5
212140619,9,1,5
212151239,9,1,5
212171369,9,1,5
212218739,9,1,5
212264639,9,1,5
212316389,9,1,5
212334719,9,1,6
212357339,9,1,5
212473559,9,1,5
212560949,9,1,5
212565239,9,1,6
212579819,9,1,5
212745059,9,1,5
212879399,9,1,5
213129359,9,1,6
213773999,9,1,5
213918329,9,1,5
214186949,9,1,5
214215299,9,1,7
214386989,9,1,6
214395509,9,1,5
214489889,9,1,5
214525169,9,1,5
214914209,9,1,5
214967279,9,1,5
215544809,9,1,5
215748839,9,1,5
216496859,9,1,5
216680729,9,1,5
216934199,9,1,5
217038119,9,1,6
217068569,9,1,5
217334759,9,1,6
217663079,9,1,5
217718849,9,1,5
217895369,9,1,5
218029529,9,1,5
218103269,9,1,6
218130719,9,1,5
218232359,9,1,5
218259449,9,1,5
218357729,9,1,7
219318689,9,1,6
219374279,9,1,5
219558029,9,1,5
220063169,9,1,5
220503779,9,1,5
220852349,9,1,5
220853609,9,1,5
220915319,9,1,5
220948289,9,1,6
220979939,9,1,5
221177609,9,1,6
221883869,9,1,5
221903219,9,1,5
222025439,9,1,5
222083399,9,1,5
222119069,9,1,6
222187769,9,1,5
222518039,9,1,5
222620759,9,1,5
222740879,9,1,5
222818159,9,1,6
223065659,9,1,5
223094639,9,1,5
223332569,9,1,5
223429919,9,1,5
223451099,9,1,5
223640069,9,1,5
224121329,9,1,6
224207939,9,1,5
224259599,9,1,5
224726759,9,1,5
224925209,9,1,5
225057389,9,1,5
225147809,9,1,7
225160709,9,1,5
225296789,9,1,5
225333989,9,1,5
225749159,9,1,5
225948869,9,1,5
226366139,9,1,8
226530569,9,1,5
226602149,9,1,5
226781669,9,1,5
226793009,9,1,5
227582639,9,1,5
227781539,9,1,5
227860049,9,1,5
227882279,9,1,5
227899079,9,1,5
228067319,9,1,5
228111869,9,1,5
228112259,9,1,5
228219479,9,1,5
228313469,9,1,5
228317819,9,1,5
228351449,9,1,5
228431369,9,1,5
228507239,9,1,5
228576899,9,1,5
228681779,9,1,5
228900569,9,1,5
229414049,9,1,5
229645679,9,1,5
229686329,9,1,5
229847099,9,1,5
229879379,9,1,5
229887929,9,1,5
229943999,9,1,5
229987889,9,1,5
230211629,9,1,6
230223839,9,1,5
230346689,9,1,5
230363879,9,1,5
230473079,9,1,5
230518559,9,1,5
230698739,9,1,5
230802989,9,1,5
230919239,9,1,5
230968649,9,1,5
231270629,9,1,5
231921689,9,1,6
232011449,9,1,5
232069199,9,1,5
232133969,9,1,5
232376489,9,1,5
232676789,9,1,5
232858679,9,1,5
232991639,9,1,5
233242349,9,1,5
234247379,9,1,5
234698729,9,1,5
234893999,9,1,5
235377539,9,1,5
235426049,9,1,7
235440659,9,1,5
235457669,9,1,5
235686749,9,1,5
235756019,9,1,5
235924679,9,1,5
236155919,9,1,6
236451989,9,1,5
236640149,9,1,5
237338099,9,1,5
237630119,9,1,5
237692579,9,1,5
237872339,9,1,7
237889199,9,1,5
238062059,9,1,5
238124429,9,1,5
238417169,9,1,5
238442489,9,1,5
238686089,9,1,5
238731989,9,1,6
239133239,9,1,6
239308529,9,1,5
239845499,9,1,5
240249749,9,1,6
240407369,9,1,5
240462779,9,1,5
240928739,9,1,5
240942959,9,1,5
241004399,9,1,5
241034639,9,1,5
241050149,9,1,5
241080299,9,1,5
241201799,9,1,5
241351289,9,1,5
241399289,9,1,6
241802069,9,1,5
242241299,9,1,5
242507519,9,1,5
242511779,9,1,6
242529299,9,1,5
242602859,9,1,5
242908769,9,1,5
242986949,9,1,5
243122549,9,1,5
243401729,9,1,5
243697739,9,1,5
243730169,9,1,7
243961799,9,1,5
244048859,9,1,5
244096379,9,1,5
244279289,9,1,6
244313369,9,1,6
244486829,9,1,5
244838969,9,1,5
244998389,9,1,5
245319029,9,1,5
245682149,9,1,5
246440399,9,1,5
246948029,9,1,5
246956579,9,1,5
246996419,9,1,5
247348379,9,1,5
247502309,9,1,5
247869029,9,1,6
247989389,9,1,5
248262809,9,1,6
248309549,9,1,6
249116789,9,1,5
249176129,9,1,5
249194579,9,1,5
249343229,9,1,6
249473459,9,1,6
249707819,9,1,5
249811109,9,1,5
250033859,9,1,5
250167059,9,1,5
250172519,9,1,6
250532699,9,1,5
250581659,9,1,5
250616189,9,1,7
251010869,9,1,6
251200679,9,1,5
251592329,9,1,5
251604719,9,1,6
251760809,9,1,5
251769599,9,1,5
251919749,9,1,5
252065669,9,1,5
252175559,9,1,5
252725549,9,1,6
252985319,9,1,5
253309019,9,1,5
253478999,9,1,5
253497269,9,1,5
253728929,9,1,5
253889459,9,1,5
253944269,9,1,5
253970399,9,1,5
254059859,9,1,5
254144069,9,1,5
254299679,9,1,5
254312609,9,1,5
254660699,9,1,5
254718449,9,1,5
254967299,9,1,5
255390389,9,1,5
255558629,9,1,5
255589289,9,1,5
255594299,9,1,6
255799499,9,1,5
255973409,9,1,5
256071449,9,1,5
256328279,9,1,5
256354979,9,1,5
256365449,9,1,5
256397129,9,1,5
256403159,9,1,5
256425959,9,1,5
256991909,9,1,5
257018579,9,1,5
257190239,9,1,5
257443919,9,1,5
258077819,9,1,5
258151259,9,1,6
258155459,9,1,5
258483899,9,1,5
258512519,9,1,5
258706319,9,1,6
258800309,9,1,5
258826679,9,1,6
258879749,9,1,6
259132829,9,1,5
259481669,9,1,5
259837499,9,1,5
260137019,9,1,5
260372429,9,1,5
260490449,9,1,5
260503079,9,1,5
260806709,9,1,5
260834039,9,1,5
260902709,9,1,5
261191039,9,1,6
261333389,9,1,5
261359849,9,1,5
261879179,9,1,7
262345229,9,1,5
262375439,9,1,5
262702829,9,1,5
262785119,9,1,5
263238719,9,1,5
263775059,9,1,5
263989499,9,1,6
264428189,9,1,5
264513209,9,1,5
264650129,9,1,5
265052699,9,1,6
265312499,9,1,5
265346729,9,1,6
265406789,9,1,5
265682099,9,1,5
265707089,9,1,6
265856579,9,1,5
266141549,9,1,5
266396969,9,1,5
266410379,9,1,5
266427569,9,1,5
266460179,9,1,5
267115379,9,1,5
267336029,9,1,6
267453839,9,1,6
267576299,9,1,5
268089749,9,1,5
268119389,9,1,5
268277519,9,1,5
268375469,9,1,5
268516229,9,1,5
268731929,9,1,5
269020079,9,1,5
269103539,9,1,5
269297159,9,1,5
269308499,9,1,5
269735729,9,1,6
270410999,9,1,5
270655439,9,1,5
270761399,9,1,5
270789089,9,1,5
270844979,9,1,5
270944939,9,1,5
271024109,9,1,5
271136039,9,1,5
271142519,9,1,5
271328489,9,1,5
271564019,9,1,5
273080729,9,1,5
273096539,9,1,5
273152879,9,1,5
273380039,9,1,5
273427229,9,1,5
273835169,9,1,5
273920849,9,1,5
274147619,9,1,5
274182599,9,1,5
274351529,9,1,5
274379909,9,1,5
274671569,9,1,5
274872239,9,1,5
274967999,9,1,5
275116169,9,1,5
275340629,9,1,5
275555279,9,1,5
276149669,9,1,5
276281459,9,1,6
276667799,9,1,5
276805409,9,1,5
277087229,9,1,5
277141979,9,1,5
277283939,9,1,5
277440959,9,1,5
277780829,9,1,5
278344169,9,1,5
278477189,9,1,5
278548169,9,1,5
278815469,9,1,5
279132839,9,1,5
279240509,9,1,5
279245699,9,1,6
279380639,9,1,5
279441089,9,1,6
279482699,9,1,5
279747449,9,1,5
279875399,9,1,5
280169999,9,1,5
280440059,9,1,5
280520879,9,1,5
280903919,9,1,5
281220419,9,1,5
281237609,9,1,5
281531639,9,1,5
281617079,9,1,5
281936849,9,1,5
282324569,9,1,5
282383009,9,1,6
282386339,9,1,6
282722939,9,1,5
282792689,9,1,5
282893609,9,1,5
282926279,9,1,5
282944729,9,1,5
282963959,9,1,5
283101419,9,1,5
283276739,9,1,5
283412309,9,1,6
283493789,9,1,5
283740449,9,1,5
283839329,9,1,5
284319839,9,1,5
284723009,9,1,5
284730269,9,1,5
285028589,9,1,5
285128699,9,1,5
285129959,9,1,5
285433229,9,1,5
285711869,9,1,7
285758939,9,1,5
285812399,9,1,5
286383659,9,1,5
286828079,9,1,6
287163869,9,1,5
287543969,9,1,5
287560439,9,1,5
287895659,9,1,5
287939549,9,1,5
288309839,9,1,6
288991289,9,1,5
289361669,9,1,5
289733789,9,1,5
289743689,9,1,5
289765769,9,1,6
289784639,9,1,5
289832429,9,1,5
290130839,9,1,5
290138729,9,1,5
290244359,9,1,5
290332109,9,1,7
290332769,9,1,5
290482919,9,1,6
290960459,9,1,5
290966639,9,1,6
291104279,9,1,5
291104669,9,1,5
291643949,9,1,5
292168889,9,1,5
292280459,9,1,5
292560179,9,1,5
292565219,9,1,5
292733459,9,1,5
292942829,9,1,5
293235359,9,1,5
293370179,9,1,5
293426459,9,1,5
293664719,9,1,5
293805719,9,1,5
293853299,9,1,5
293891729,9,1,5
294477479,9,1,5
294692369,9,1,5
294911489,9,1,6
295553339,9,1,6
295955399,9,1,5
296203889,9,1,5
296247599,9,1,5
296738999,9,1,5
296797799,9,1,5
296853239,9,1,6
297004349,9,1,5
297182909,9,1,5
297220769,9,1,5
297389489,9,1,5
297937889,9,1,5
297945239,9,1,5
298139819,9,1,5
298661339,9,1,5
298753709,9,1,5
298998209,9,1,5
299072759,9,1,5
299989799,9,1,5
300183629,9,1,5
300586439,9,1,5
300617189,9,1,6
300977249,9,1,6
301157729,9,1,5
301292669,9,1,6
301551749,9,1,5
301983449,9,1,5
302425559,9,1,6
302461829,9,1,6
302523569,9,1,5
302612309,9,1,6
302748599,9,1,5
302968049,9,1,5
302973659,9,1,5
303054029,9,1,7
303900659,9,1,5
304054259,9,1,5
304314869,9,1,6
304601309,9,1,5
304939889,9,1,5
304996619,9,1,5
305192579,9,1,9
305314739,9,1,5
305823209,9,1,5
305975009,9,1,5
305988269,9,1,5
306181769,9,1,5
306226169,9,1,5
306228449,9,1,5
306346289,9,1,5
306357599,9,1,5
306358469,9,1,5
306515939,9,1,5
306734999,9,1,6
306879389,9,1,5
306906599,9,1,6
307042889,9,1,5
307121159,9,1,5
307366079,9,1,5
307492469,9,1,5
307742609,9,1,5
307748279,9,1,6
307827419,9,1,5
307845899,9,1,5
308182079,9,1,5
308244089,9,1,5
308973719,9,1,5
308979059,9,1,5
309032309,9,1,5
309067439,9,1,5
309162149,9,1,5
309209669,9,1,5
310483919,9,1,5
310770329,9,1,5
310878839,9,1,6
310913129,9,1,5
310965779,9,1,5
311007839,9,1,5
311231429,9,1,6
311243459,9,1,5
311810099,9,1,5
312416309,9,1,5
312574079,9,1,6
312997439,9,1,6
313240379,9,1,5
